Title,Artist,Year,Country,Thumbnail
b'Untitled',b'Rosso Fiorentino',b'1524',b'IT',https://az333960.vo.msecnd.net/images-7/untitled-rosso-fiorentino-1524-79243635.jpg
b'Baptism of Christ',b'Orazio Gentileschi',b'1607',b'IT',https://az334033.vo.msecnd.net/images-6/baptism-of-christ-orazio-gentileschi-1607-e4d5fa89.png
