Title,Artist,Year,Country,Thumbnail
|b'Portrait of a man, possibly Pieter Six'|,b'Rembrandt',b'Six',b'NL',https://az333959.vo.msecnd.net/images-6/portrait-of-a-man-possibly-pieter-six-rembrandt-5706870a.jpg
b'A Young Woman holding a Staircase Bannister',b'Rembrandt',b'Bannister',b'NL',https://az334034.vo.msecnd.net/images-7/a-young-woman-holding-a-staircase-bannister-rembrandt-4fc4f058.jpg
