Title,Artist,Year,Country,Thumbnail
b'Madonna and Child in a Landscape',b'Rogier van der Weyden',b'Landscape',,https://az333959.vo.msecnd.net/images-7/madonna-and-child-in-a-landscape-rogier-van-der-weyden-31c5e314.jpg
|b'Virgin with child, St. George, Ste. Catherine, the donors...'|,b'Anonymous',b'donors...',,https://az334033.vo.msecnd.net/images-0/virgin-with-child-st-george-ste-catherine-the-donors-and-their-children-anonymous-797e99f2.jpg
