Title,Artist,Year,Country,Thumbnail
b'Maxim Gorky',b'Akseli Gallen-Kallela',b'1906',b'FI',https://az334034.vo.msecnd.net/images-1/maxim-gorky-akseli-gallen-kallela-1906-b7f69966.jpg
b'The Veldt Ablaze at Ukamba',b'Akseli Gallen-Kallela',b'1909',b'FI',https://az334034.vo.msecnd.net/images-3/the-veldt-ablaze-at-ukamba-akseli-gallen-kallela-1909-a0c8be35.jpg
